Id,Weekly_Sales
1_1_2012-11-02,32043.384209758606
1_2_2012-11-02,44816.86622829321
1_3_2012-11-02,11984.087341754768
1_4_2012-11-02,35732.28597897513
1_5_2012-11-02,24858.223413717307
1_6_2012-11-02,5148.324466682715
1_7_2012-11-02,22946.120403452984
1_8_2012-11-02,38156.20699789079
1_9_2012-11-02,38401.42992683382
1_10_2012-11-02,28272.836214216753
1_11_2012-11-02,22638.769747939008
1_12_2012-11-02,10501.192092942672
1_13_2012-11-02,38252.8276274114
1_14_2012-11-02,14523.439708532213
1_16_2012-11-02,9866.955002354254
1_17_2012-11-02,7976.794362203197
1_18_2012-11-02,15888.386716893132
1_19_2012-11-02,2225.1628864942677
1_20_2012-11-02,3867.15705412148
1_21_2012-11-02,7684.8996732319365
1_22_2012-11-02,7387.430662083238
1_23_2012-11-02,21264.616342021152
1_24_2012-11-02,7308.846530447074
1_25_2012-11-02,10328.282255197159
1_26_2012-11-02,7979.793303267431
1_27_2012-11-02,2227.57405267146
1_28_2012-11-02,1357.5582773262663
1_29_2012-11-02,4610.786344685889
1_30_2012-11-02,2786.549670809164
1_31_2012-11-02,2494.2527313518694
1_32_2012-11-02,6776.220210577346
1_33_2012-11-02,6917.808974543705
1_34_2012-11-02,11755.347879106414
1_35_2012-11-02,2762.8568738597164
1_36_2012-11-02,2028.229326328341
1_37_2012-11-02,2879.488222174381
1_38_2012-11-02,77175.1490142292
1_40_2012-11-02,58871.54752201307
1_41_2012-11-02,2461.5051692197976
1_42_2012-11-02,7546.451578626125
1_44_2012-11-02,6449.98112454662
1_46_2012-11-02,18665.240303683982
1_48_2012-11-02,15187.463499119694
1_49_2012-11-02,9094.033868662042
1_52_2012-11-02,2723.7111783662945
1_55_2012-11-02,11089.413145201457
1_56_2012-11-02,1877.0942812174737
1_58_2012-11-02,3177.093516719886
1_59_2012-11-02,1260.194911939772
1_60_2012-11-02,1561.0328321406253
1_67_2012-11-02,6403.220771997007
1_71_2012-11-02,2994.892456806806
1_72_2012-11-02,37947.09677320358
1_74_2012-11-02,10767.66513388011
1_79_2012-11-02,30737.4797427471
1_80_2012-11-02,20416.026139491692
1_81_2012-11-02,28082.413637921596
1_82_2012-11-02,21604.06510683026
1_83_2012-11-02,5639.0687954248215
1_85_2012-11-02,4270.089589189195
1_87_2012-11-02,47643.295827709815
1_90_2012-11-02,87255.37827399281
1_91_2012-11-02,65534.29146614718
1_92_2012-11-02,146528.32079564914
1_93_2012-11-02,76788.38612400291
1_94_2012-11-02,58773.163170780404
