Id,Weekly_Sales
1_1_2012-11-02,33113.641836969815
1_2_2012-11-02,45280.79429397429
1_3_2012-11-02,10253.34171608969
1_4_2012-11-02,37221.56294592517
1_5_2012-11-02,24723.43199953974
1_6_2012-11-02,3700.584640472786
1_7_2012-11-02,22538.308975437307
1_8_2012-11-02,39626.58589302105
1_9_2012-11-02,42134.8063086951
1_10_2012-11-02,29291.68982208067
1_11_2012-11-02,22658.71057537701
1_12_2012-11-02,9819.274678611064
1_13_2012-11-02,39686.4745969652
1_14_2012-11-02,12857.902684292949
1_16_2012-11-02,6932.688701055673
1_17_2012-11-02,7225.561428250096
1_18_2012-11-02,18313.586586065838
1_19_2012-11-02,1283.4639267840237
1_20_2012-11-02,2987.944431536973
1_21_2012-11-02,8040.417012225915
1_22_2012-11-02,6353.409502569317
1_23_2012-11-02,21880.765799778204
1_24_2012-11-02,7035.397587471098
1_25_2012-11-02,10840.77868401288
1_26_2012-11-02,7792.73579758574
1_27_2012-11-02,1918.65440095778
1_28_2012-11-02,778.6742200287717
1_29_2012-11-02,4472.996864529102
1_30_2012-11-02,2122.0473475372182
1_31_2012-11-02,1732.3180949274924
1_32_2012-11-02,6624.570957853128
1_33_2012-11-02,6813.355976474939
1_34_2012-11-02,11985.748344016885
1_35_2012-11-02,2313.9509294692048
1_36_2012-11-02,1390.0009181773712
1_37_2012-11-02,2525.0127793054244
1_38_2012-11-02,78888.68306063894
1_40_2012-11-02,60206.012581434086
1_41_2012-11-02,1401.796443074314
1_42_2012-11-02,7759.412651709834
1_44_2012-11-02,6297.452046270493
1_46_2012-11-02,18931.480561161974
1_48_2012-11-02,18313.586586065838
1_49_2012-11-02,9857.966056653557
1_52_2012-11-02,2025.3273068321428
1_55_2012-11-02,12476.740638914443
1_56_2012-11-02,795.2586835503816
1_58_2012-11-02,2424.0110821890144
1_59_2012-11-02,590.5111032894876
1_60_2012-11-02,991.6283302239589
1_67_2012-11-02,6313.517181673093
1_71_2012-11-02,2079.0431325132413
1_72_2012-11-02,35310.07173927144
1_74_2012-11-02,8957.010217569314
1_79_2012-11-02,31861.823901787797
1_80_2012-11-02,19949.35711828059
1_81_2012-11-02,30171.20711618713
1_82_2012-11-02,21830.495663273683
1_83_2012-11-02,5037.352957701845
1_85_2012-11-02,3472.88410068976
1_87_2012-11-02,52138.58844736308
1_90_2012-11-02,89844.58509449042
1_91_2012-11-02,63554.14643402958
1_92_2012-11-02,150890.85481086557
1_93_2012-11-02,78003.21795700387
1_94_2012-11-02,56269.33995687386
1_95_2012-11-02,116948.14482230232
1_96_2012-11-02,18313.586586065838
1_97_2012-11-02,36323.3064921625
1_98_2012-11-02,13355.598173166973
1_99_2012-11-02,18313.586586065838
1_1_2012-11-09,27521.089641933304
1_2_2012-11-09,46490.669212515444
1_3_2012-11-09,11544.446853979987
1_4_2012-11-09,39558.17527674595
1_5_2012-11-09,31237.845045894435
1_6_2012-11-09,5115.64268057666
1_7_2012-11-09,28199.821531253103
1_8_2012-11-09,39989.45061616607
1_9_2012-11-09,45073.87503997033
1_10_2012-11-09,29302.43396366904
1_11_2012-11-09,23564.74036450282
1_12_2012-11-09,9484.098175119294
1_13_2012-11-09,40668.247114746555
1_14_2012-11-09,17918.7802233849
1_16_2012-11-09,6191.07401100616
1_17_2012-11-09,8346.12825642751
1_18_2012-11-09,18313.586586065838
1_19_2012-11-09,1100.2945682271848
1_20_2012-11-09,3405.489027658324
1_21_2012-11-09,8209.694968098749
1_22_2012-11-09,7765.139583710612
1_23_2012-11-09,24195.263546619757
1_24_2012-11-09,7614.745618688617
1_25_2012-11-09,11014.645578091871
1_26_2012-11-09,8244.978815250712
1_27_2012-11-09,2022.4478790414346
1_28_2012-11-09,788.9680242471543
1_29_2012-11-09,4833.934143714529
1_30_2012-11-09,2087.9851213638076
1_31_2012-11-09,1854.9938145629349
1_32_2012-11-09,7408.778869419412
1_33_2012-11-09,7534.973449318848
1_34_2012-11-09,12926.719805321944
1_35_2012-11-09,2542.610540006626
1_36_2012-11-09,1545.4139290416817
1_37_2012-11-09,2581.508476444446
1_38_2012-11-09,77926.66889712775
1_40_2012-11-09,60895.1562669484
1_41_2012-11-09,1271.8909528327688
1_42_2012-11-09,7819.877078574036
1_44_2012-11-09,6049.546995831242
1_46_2012-11-09,19875.639562346565
1_48_2012-11-09,18313.586586065838
1_49_2012-11-09,9612.128675511696
1_52_2012-11-09,1974.0857805710534
1_55_2012-11-09,17316.6514189479
1_56_2012-11-09,822.5484593579436
1_58_2012-11-09,2620.459747137219
1_59_2012-11-09,1022.0637896669382
1_60_2012-11-09,910.2634820017295
1_67_2012-11-09,6195.056127354441
1_71_2012-11-09,2643.141124696324
1_72_2012-11-09,55156.123580017374
1_74_2012-11-09,10733.955069038771
1_79_2012-11-09,33156.22459907472
1_80_2012-11-09,20345.450573830334
1_81_2012-11-09,31018.33050460551
1_82_2012-11-09,22697.232739463983
1_83_2012-11-09,4621.642585926406
1_85_2012-11-09,3145.8570244113644
1_87_2012-11-09,53532.57766817388
1_90_2012-11-09,95123.66519017328
1_91_2012-11-09,64703.389176124336
1_92_2012-11-09,165607.12325127455
1_93_2012-11-09,84696.42712748601
1_94_2012-11-09,56613.983066242916
1_95_2012-11-09,114880.1658468327
1_96_2012-11-09,18313.586586065838
1_97_2012-11-09,36289.82875867775
1_98_2012-11-09,13909.977991470687
1_99_2012-11-09,18313.586586065838
1_1_2012-11-16,19555.398609330994
1_2_2012-11-16,45516.576442965175
1_3_2012-11-16,11197.033572448308
1_4_2012-11-16,41955.048675426966
1_5_2012-11-16,39029.156206018844
1_6_2012-11-16,6623.186985462746
1_7_2012-11-16,31133.68034291584
1_8_2012-11-16,39644.54212099366
1_9_2012-11-16,42979.051319467486
1_10_2012-11-16,29810.585140114395
1_11_2012-11-16,25672.75432517659
1_12_2012-11-16,9411.465259897072
1_13_2012-11-16,41054.218754142625
1_14_2012-11-16,22677.48904201741
1_16_2012-11-16,6852.868845717685
1_17_2012-11-16,9280.180729878224
1_18_2012-11-16,18313.586586065838
1_19_2012-11-16,968.8988722627104
1_20_2012-11-16,4025.7551783884714
1_21_2012-11-16,8090.367449870778
1_22_2012-11-16,9944.111031770222
1_23_2012-11-16,24285.492936273506
1_24_2012-11-16,7639.4757374020055
1_25_2012-11-16,10679.553794712227
1_26_2012-11-16,8431.529553678456
1_27_2012-11-16,1938.3352784688968
1_28_2012-11-16,705.0258447154526
1_29_2012-11-16,4725.812385978443
1_30_2012-11-16,2053.9327918226704
1_31_2012-11-16,1478.5193909012073
1_32_2012-11-16,6509.111943138
1_33_2012-11-16,7749.104080696619
1_34_2012-11-16,13500.055429991466
1_35_2012-11-16,2580.504930872985
1_36_2012-11-16,1689.749877273171
1_37_2012-11-16,2668.9858913692956
1_38_2012-11-16,73229.35380093365
1_40_2012-11-16,60946.421708688955
1_41_2012-11-16,1088.6532209415877
1_42_2012-11-16,7705.554060898321
1_44_2012-11-16,6012.860327216834
1_46_2012-11-16,18610.137753714564
1_48_2012-11-16,18313.586586065838
1_49_2012-11-16,9446.620442001173
1_52_2012-11-16,1984.525478558403
1_54_2012-11-16,18313.586586065838
1_55_2012-11-16,20174.146156181072
1_56_2012-11-16,1081.0851884515369
1_58_2012-11-16,2826.209763310376
1_59_2012-11-16,635.0655654797246
1_60_2012-11-16,857.9067178345488
1_67_2012-11-16,5500.799653468129
1_71_2012-11-16,3195.57064718758
1_72_2012-11-16,84203.48736756682
1_74_2012-11-16,12972.197262768896
1_79_2012-11-16,34507.966827806646
1_80_2012-11-16,20642.54708244164
1_81_2012-11-16,31827.01327406995
1_82_2012-11-16,21430.96037104911
1_83_2012-11-16,4380.599520331043
1_85_2012-11-16,2683.826005639387
1_87_2012-11-16,53970.1614591941
1_90_2012-11-16,99232.63501761241
1_91_2012-11-16,65763.91525854976
1_92_2012-11-16,175952.2609278104
1_93_2012-11-16,89818.81941093561
1_94_2012-11-16,57419.174772916434
1_95_2012-11-16,114478.25514704599
1_96_2012-11-16,18313.586586065838
1_97_2012-11-16,35654.41568712815
1_98_2012-11-16,14534.634972658512
1_1_2012-11-23,16593.992934437476
1_2_2012-11-23,43854.92100309554
1_3_2012-11-23,10263.278755373996
1_4_2012-11-23,42774.80610228777
1_5_2012-11-23,44850.801531168996
1_6_2012-11-23,7426.003087834245
1_7_2012-11-23,34426.34270080321
1_8_2012-11-23,39151.68307052595
1_9_2012-11-23,36305.90477112999
1_10_2012-11-23,30455.61891871339
1_11_2012-11-23,28907.84338841682
1_12_2012-11-23,9110.991227835342
1_13_2012-11-23,40230.63489123076
1_14_2012-11-23,24609.824494717603
1_16_2012-11-23,7588.6055109941735
1_17_2012-11-23,9644.55912550071
1_18_2012-11-23,18313.586586065838
1_19_2012-11-23,996.0110280514288
1_20_2012-11-23,4318.785449060311
1_21_2012-11-23,8030.761515532855
1_22_2012-11-23,11307.618648810649
1_23_2012-11-23,23686.609896572285
1_24_2012-11-23,7895.593471404143
1_25_2012-11-23,10322.044413763393
1_26_2012-11-23,8273.901290835536
1_27_2012-11-23,1907.5165115632774
1_28_2012-11-23,627.1216539425627
1_29_2012-11-23,4601.164500911284
1_30_2012-11-23,2003.148722996922
1_31_2012-11-23,1251.3322341614453
1_32_2012-11-23,5448.695742252405
1_33_2012-11-23,8014.571858171889
1_34_2012-11-23,13796.184262029177
1_35_2012-11-23,2478.882489423116
1_36_2012-11-23,1881.209086401392
1_37_2012-11-23,2649.8799237158632
1_38_2012-11-23,70367.21627263032
1_40_2012-11-23,60942.06263005581
1_41_2012-11-23,998.0353901482605
1_42_2012-11-23,7356.4101240620375
1_44_2012-11-23,6569.1811405081025
1_46_2012-11-23,16811.525743024595
1_48_2012-11-23,18313.586586065838
1_49_2012-11-23,9425.954338389016
1_52_2012-11-23,2193.607231673045
1_54_2012-11-23,18313.586586065838
1_55_2012-11-23,19669.529688887083
1_56_2012-11-23,1372.2415443684358
1_58_2012-11-23,2774.313982640406
1_59_2012-11-23,63.02509266679374
1_60_2012-11-23,951.2766023479179
1_67_2012-11-23,5099.966394196845
1_71_2012-11-23,3300.9309468708025
1_72_2012-11-23,102275.89265278804
1_74_2012-11-23,13944.192028102701
1_79_2012-11-23,34826.78956132071
1_80_2012-11-23,20592.757624817325
1_81_2012-11-23,31955.234088643054
1_82_2012-11-23,19998.298492574915
1_83_2012-11-23,4440.303046667778
1_85_2012-11-23,2762.084885624018
1_87_2012-11-23,53187.76928275793
1_90_2012-11-23,99291.98455498509
1_91_2012-11-23,65778.81154837673
1_92_2012-11-23,175519.37083448973
1_93_2012-11-23,89568.25944067785
1_94_2012-11-23,56736.436296341824
1_95_2012-11-23,115046.05860751097
1_96_2012-11-23,18313.586586065838
1_97_2012-11-23,34584.407909808906
1_98_2012-11-23,15137.64482681586
1_99_2012-11-23,18313.586586065838
1_1_2012-11-30,22610.721885327865
1_2_2012-11-30,44718.22334311925
1_3_2012-11-30,10673.926194406558
1_4_2012-11-30,41962.25927444482
1_5_2012-11-30,48482.489023196395
1_6_2012-11-30,8002.169460672688
1_7_2012-11-30,45693.98913744831
1_8_2012-11-30,39591.096155075225
1_9_2012-11-30,30599.82406855717
1_10_2012-11-30,30709.787353431373
1_11_2012-11-30,31942.811102007556
1_12_2012-11-30,8344.942368935406
1_13_2012-11-30,38659.266165571535
1_14_2012-11-30,24819.913630017007
1_16_2012-11-30,7160.491704253895
1_17_2012-11-30,10051.334554161174
1_18_2012-11-30,18313.586586065838
1_19_2012-11-30,1184.8898290557872
1_20_2012-11-30,4094.478499288949
1_21_2012-11-30,8547.141531579859
1_22_2012-11-30,11416.533712910787
1_23_2012-11-30,26142.01477424394
1_24_2012-11-30,9305.965562697213
1_25_2012-11-30,10767.754318875806
1_26_2012-11-30,8433.569904238373
1_27_2012-11-30,2275.461178174301
1_28_2012-11-30,655.5627692069015
1_29_2012-11-30,5293.653265497757
1_30_2012-11-30,1981.14339360435
1_31_2012-11-30,1837.0611613950805
1_32_2012-11-30,7457.953306753731
1_33_2012-11-30,9121.911894961377
1_34_2012-11-30,14298.757919425656
1_35_2012-11-30,2494.040208239764
1_36_2012-11-30,2214.237593396051
1_37_2012-11-30,2484.5146804499896
1_38_2012-11-30,72126.01964643499
1_40_2012-11-30,61657.51606865959
1_41_2012-11-30,1190.0226294343533
1_42_2012-11-30,6900.766353743915
1_44_2012-11-30,7704.492657706353
1_45_2012-11-30,18313.586586065838
