Id,Weekly_Sales
1_1_2012-11-02,14421.352546427632
1_2_2012-11-02,14523.208242599932
1_3_2012-11-02,14625.063938772233
1_4_2012-11-02,14726.919634944534
1_5_2012-11-02,14828.775331116834
1_6_2012-11-02,14930.631027289135
1_7_2012-11-02,15032.486723461436
1_8_2012-11-02,15134.342419633736
1_9_2012-11-02,15236.198115806037
1_10_2012-11-02,15338.053811978338
1_11_2012-11-02,15439.909508150638
1_12_2012-11-02,15541.76520432294
1_13_2012-11-02,15643.62090049524
1_14_2012-11-02,15745.47659666754
1_16_2012-11-02,15949.187989012142
1_17_2012-11-02,16051.043685184442
1_18_2012-11-02,16152.899381356743
1_19_2012-11-02,16254.755077529042
1_20_2012-11-02,16356.610773701343
1_21_2012-11-02,16458.466469873645
1_22_2012-11-02,16560.322166045946
1_23_2012-11-02,16662.177862218246
1_24_2012-11-02,16764.033558390547
1_25_2012-11-02,16865.889254562848
1_26_2012-11-02,16967.74495073515
1_27_2012-11-02,17069.60064690745
1_28_2012-11-02,17171.45634307975
1_29_2012-11-02,17273.31203925205
1_30_2012-11-02,17375.16773542435
1_31_2012-11-02,17477.023431596648
1_32_2012-11-02,17578.87912776895
1_33_2012-11-02,17680.73482394125
1_34_2012-11-02,17782.59052011355
1_35_2012-11-02,17884.44621628585
1_36_2012-11-02,17986.30191245815
1_37_2012-11-02,18088.157608630452
1_38_2012-11-02,18190.013304802753
1_40_2012-11-02,18393.724697147354
1_41_2012-11-02,18495.580393319655
1_42_2012-11-02,18597.436089491955
1_44_2012-11-02,18801.147481836557
1_46_2012-11-02,19004.858874181158
1_48_2012-11-02,19208.57026652576
1_49_2012-11-02,19310.42596269806
1_52_2012-11-02,19615.993051214962
1_55_2012-11-02,19921.560139731864
1_56_2012-11-02,20023.415835904165
1_58_2012-11-02,20227.127228248766
1_59_2012-11-02,20328.982924421067
1_60_2012-11-02,20430.838620593368
1_67_2012-11-02,21143.828493799472
1_71_2012-11-02,21551.251278488675
1_72_2012-11-02,21653.106974660976
1_74_2012-11-02,21856.818367005577
1_79_2012-11-02,22366.096847867077
1_80_2012-11-02,22467.95254403938
1_81_2012-11-02,22569.808240211678
1_82_2012-11-02,22671.66393638398
1_83_2012-11-02,22773.51963255628
1_85_2012-11-02,22977.23102490088
1_87_2012-11-02,23180.942417245482
1_90_2012-11-02,23486.509505762384
1_91_2012-11-02,23588.36520193469
1_92_2012-11-02,23690.220898106985
1_93_2012-11-02,23792.07659427929
1_94_2012-11-02,23893.932290451587
1_95_2012-11-02,23995.787986623887
1_96_2012-11-02,24097.643682796188
1_97_2012-11-02,24199.49937896849
1_98_2012-11-02,24301.35507514079
1_99_2012-11-02,24403.21077131309
1_1_2012-11-09,14227.437942605658
1_2_2012-11-09,14329.29363877796
1_3_2012-11-09,14431.14933495026
1_4_2012-11-09,14533.00503112256
1_5_2012-11-09,14634.860727294861
