Id,Weekly_Sales
1_1_2012-11-02,28832.611328125
1_1_2012-11-09,43425.08203125
1_1_2012-11-16,17176.32421875
1_1_2012-11-23,31264.455078125
1_1_2012-11-30,25262.59765625
1_1_2012-12-07,9491.5439453125
1_1_2012-12-14,24169.5546875
1_1_2012-12-21,33745.0703125
1_1_2012-12-28,27201.30078125
1_1_2013-01-04,25216.275390625
1_1_2013-01-11,22578.947265625
1_1_2013-01-18,12546.9443359375
1_1_2013-01-25,33951.88671875
1_1_2013-02-01,19520.05078125
1_1_2013-02-08,18669.75390625
1_1_2013-02-15,10230.4931640625
1_1_2013-02-22,8612.787109375
1_1_2013-03-01,5050.259765625
1_1_2013-03-08,6504.794921875
1_1_2013-03-15,6618.34765625
1_1_2013-03-22,10489.494140625
1_1_2013-03-29,19416.16796875
1_1_2013-04-05,8129.193359375
1_1_2013-04-12,8790.79296875
1_1_2013-04-19,8540.9658203125
1_1_2013-04-26,3154.3330078125
1_1_2013-05-03,3094.21044921875
1_1_2013-05-10,5024.15478515625
1_1_2013-05-17,4780.056640625
1_1_2013-05-24,4780.056640625
1_1_2013-05-31,7231.16796875
1_1_2013-06-07,7231.16796875
1_1_2013-06-14,11064.146484375
1_1_2013-06-21,4109.57470703125
1_1_2013-06-28,3942.91455078125
1_1_2013-07-05,3942.91455078125
1_1_2013-07-12,72034.546875
1_1_2013-07-19,54868.15234375
1_1_2013-07-26,5640.63134765625
1_2_2012-11-02,6907.568359375
1_2_2012-11-09,6907.568359375
1_2_2012-11-16,17866.51953125
1_2_2012-11-23,5809.09423828125
1_2_2012-11-30,6802.2373046875
1_2_2012-12-07,4818.86279296875
1_2_2012-12-14,6927.4306640625
1_2_2012-12-21,5122.60107421875
1_2_2012-12-28,5436.3408203125
1_2_2013-01-04,3269.246337890625
1_2_2013-01-11,3269.246337890625
1_2_2013-01-18,6672.33154296875
1_2_2013-01-25,5742.4404296875
1_2_2013-02-01,45858.171875
1_2_2013-02-08,16199.6298828125
1_2_2013-02-15,27364.447265625
1_2_2013-02-22,21816.033203125
1_2_2013-03-01,21816.033203125
1_2_2013-03-08,20924.7734375
1_2_2013-03-15,7444.21630859375
1_2_2013-03-22,6661.7060546875
1_2_2013-03-29,34157.41796875
1_2_2013-04-05,79487.7578125
1_2_2013-04-12,71474.7265625
1_2_2013-04-19,133440.71875
1_2_2013-04-26,73143.890625
1_2_2013-05-03,66284.6328125
1_2_2013-05-10,111284.359375
1_2_2013-05-17,34560.07421875
1_2_2013-05-24,35007.703125
1_2_2013-05-31,13258.44921875
1_2_2013-06-07,1958.4117431640625
1_2_2013-06-14,25095.9453125
1_2_2013-06-21,43425.08203125
1_2_2013-06-28,17176.32421875
1_2_2013-07-05,31519.9296875
1_2_2013-07-12,25294.74609375
1_2_2013-07-19,9491.5439453125
1_2_2013-07-26,24975.83984375
1_3_2012-11-02,34551.35546875
1_3_2012-11-09,27201.30078125
1_3_2012-11-16,25216.275390625
1_3_2012-11-23,22578.947265625
1_3_2012-11-30,12546.9443359375
1_3_2012-12-07,33951.88671875
1_3_2012-12-14,19520.05078125
1_3_2012-12-21,18669.75390625
1_3_2012-12-28,10230.4931640625
1_3_2013-01-04,8612.787109375
